Time Step,Load (kWh),Solar Production (kWh),Curtailment (kWh),Battery Charge (kWh),Battery Discharge (kWh),State of Charge (kWh),Lost Load (kWh),Generator Production (kWh)
1,10.0809384,0.0,0.0,0.0,0.0,0.0,0.0,10.0809384
2,10.57792847,0.0,0.0,0.0,0.0,0.0,0.0,10.57792847
3,11.02046612,0.0,0.0,0.0,0.0,0.0,0.0,11.02046612
4,11.5904331,0.0,0.0,0.0,0.0,0.0,0.0,11.5904331
5,11.80279685,0.0,0.0,0.0,0.0,0.0,0.0,11.80279685
6,8.572130617,0.0,0.0,0.0,0.0,0.0,0.0,8.572130617
7,7.8269865,0.12735003849081367,0.0,0.0,0.0,0.0,0.0,7.699636461509186
8,7.571404583,0.9041852732847769,0.0,0.0,0.0,0.0,0.0,6.667219309715223
9,8.451158767,3.3747760200065624,-4.440892098500626e-16,0.0,0.0,0.0,0.0,5.076382746993438
10,8.804214033,5.654341708992126,8.881784197001252e-16,0.0,0.0,0.0,0.0,3.149872324007873
11,8.850600367,7.373567228618111,0.0,0.0,0.0,0.0,0.0,1.4770331383818895
12,9.0898205,8.443307551940945,0.0,0.0,0.0,0.0,0.0,0.6465129480590548
13,9.008703233,8.927237698206037,0.0,0.0,0.0,0.0,0.0,0.08146553479396346
14,9.421566083,8.850827675111548,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.5707384078884523
15,8.58296715,7.9466424018267725,0.0,0.0,0.0,0.0,0.0,0.6363247481732275
16,8.2938658,6.163741862955382,-8.881784197001252e-16,0.0,0.0,0.0,0.0,2.130123937044619
17,8.167900967,4.278961293291339,8.881784197001252e-16,0.0,0.0,0.0,0.0,3.888939673708661
18,8.374619433,2.572470777514436,0.0,0.0,0.0,0.0,0.0,5.8021486554855635
19,9.3431625,0.9296552809829396,1.1102230246251565e-16,0.0,0.0,0.0,0.0,8.41350721901706
20,13.82217963,0.06367501924540683,0.0,0.0,0.0,0.0,0.040689359985636386,13.717815250768957
21,17.90192355,0.0,0.0,0.0,0.0,0.0,4.184108299231042,13.717815250768957
22,18.40249893,0.0,0.0,0.0,0.0,0.0,4.684683679231043,13.717815250768957
23,16.22458082,0.0,0.0,0.0,0.0,0.0,2.5067655692310424,13.717815250768957
24,12.51536368,0.0,0.0,0.0,0.0,0.0,0.0,12.51536368
25,10.61384393,0.0,0.0,0.0,0.0,0.0,0.0,10.61384393
26,10.30907943,0.0,0.0,0.0,0.0,0.0,0.0,10.30907943
27,10.72796655,0.0,0.0,0.0,0.0,0.0,0.0,10.72796655
28,11.129304,0.0,0.0,0.0,0.0,0.0,0.0,11.129304
29,11.87439753,0.0,0.0,0.0,0.0,0.0,0.0,11.87439753
30,11.85696223,0.0,0.0,0.0,0.0,0.0,0.0,11.85696223
31,9.614486967,0.11461503464173227,1.3877787807814457e-17,0.0,0.0,0.0,0.0,9.499871932358268
32,7.88779005,0.8532452578884516,0.0,0.0,0.0,0.0,0.0,7.034544792111549
33,8.161003867,3.3365710084593183,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.824432858540682
34,8.545913217,5.577931685897638,8.881784197001252e-16,0.0,0.0,0.0,0.0,2.967981531102363
35,8.91050645,7.258952193976378,0.0,0.0,0.0,0.0,0.0,1.6515542560236218
36,8.767652383,8.328692517299213,0.0,0.0,0.0,0.0,0.0,0.43895986570078627
37,8.54736,8.54736,0.29073267126246805,0.0,0.0,0.0,0.0,0.0
38,9.44043225,8.7489476443189,0.0,0.0,0.0,0.0,0.0,0.6914846056811008
39,8.671567567,7.844762371034121,0.0,0.0,0.0,0.0,0.0,0.8268051959658793
40,7.928385033,6.6604070130695545,0.0,0.0,0.0,0.0,0.0,1.2679780199304451
41,8.106825483,4.839301462650919,0.0,0.0,0.0,0.0,0.0,3.2675240203490805
42,8.513954783,2.788965842948819,4.440892098500626e-16,0.0,0.0,0.0,0.0,5.7249889400511815
43,11.85541425,0.9169202771338582,1.1102230246251565e-16,0.0,0.0,0.0,0.0,10.938493972866143
44,15.68789085,0.07641002309448819,1.3877787807814457e-17,0.0,0.0,0.0,1.8936655761365557,13.717815250768957
45,18.45821752,0.0,0.0,0.0,0.0,0.0,4.740402269231044,13.717815250768957
46,19.42680908,0.0,0.0,0.0,0.0,0.0,5.708993829231044,13.717815250768957
47,17.10758645,0.0,0.0,0.0,0.0,0.0,3.389771199231042,13.717815250768957
48,12.07170412,0.0,0.0,0.0,0.0,0.0,0.0,12.07170412
49,9.6333439,0.0,0.0,0.0,0.0,0.0,0.0,9.6333439
50,10.15631543,0.0,0.0,0.0,0.0,0.0,0.0,10.15631543
51,10.69686827,0.0,0.0,0.0,0.0,0.0,0.0,10.69686827
52,10.96606818,0.0,0.0,0.0,0.0,0.0,0.0,10.96606818
53,11.90451395,0.0,0.0,0.0,0.0,0.0,0.0,11.90451395
54,11.57296465,0.0,0.0,0.0,0.0,0.0,0.0,11.57296465
55,9.3700984,0.12735003849081367,0.0,0.0,0.0,0.0,0.0,9.242748361509186
56,7.979089283,0.8787152655866143,0.0,0.0,0.0,0.0,0.0,7.100374017413386
57,8.245204483,3.3620410161574807,0.0,0.0,0.0,0.0,0.0,4.88316346684252
58,8.844411567,5.667076712841208,0.0,0.0,0.0,0.0,0.0,3.177334854158792
